id,name,name@fr,name@nl,name@de,xbrl_code
european_society,European cooperative society,Société coopérative européenne,Europese coöperatieve vennootschap,Europäische Genossenschaft,m001
pension_organisation,Pension scheme organisation,Organisme de financement de pensions,Organisme voor de financiering van pensioenen,Organismus für die Finanzierung von Pensionen,m002
general_partnership,General partnership,Société en nom collectif,Vennootschap onder firma,Offene Handelsgesellschaft,m011
public_company,Public limited company,Société anonyme,Naamloze vennootschap,Aktiengesellschaft,m014
non_profit_organization,Non-profit organization,Association sans but lucratif,Vereniging zonder winstoogmerk,Vereinigung ohne Gewinnerzielungsabsicht,m017
private_fund,Private mutual insurance fund,Soc. d'assur. mutuelle / Caisse commune d'assur. droit privé,Onderlinge verzekeringsvereniging/Gemeenschappelijke verzekeringskas (privaat recht),Privatrechtl. Versicherungsgesellschaft auf Gegenseitigkeit,m021
private_foundation,Private foundation,Fondation privée,Private stichting,Private Stiftung,m026
european_europaea,European company (Societas Europaea),Société européenne (Societas Europaea),Europese vennootschap (Societas Europaea),Europäische Gesellschaft,m027
public_foundation,Public utility foundation,Fondation d'utilité publique,Stichting van openbaar nut,Gemeinnützige Stiftung,m029
foreign_company,Foreign company,Entreprise étrangère,Buitenlandse entiteit,Ausländische Gesellschaft,m030
european_belgium,European economic assoc with registered seat in Belgium,"Groupement européen d'intérêt économique, siège en Belgique",Europees economisch samenwerkingsverband met zetel in België,Europäische wirtschaftl. Interessenvereinigung Sitz Belgien,m065
international_organization,International non-profit organization,Association internationale sans but lucratif,Internationale vereniging zonder winstoogmerk,Internationale Vereinigung ohne Gewinnerzielungsabsicht,m125
europ_belgium,Europ. Econ. assoc wo reg.seat but with est. unit in Belgium,Groupement européen d'intérêt économique sans siège,Europees economisch samenwerkingsverband zonder zetel met vestiging in België,Europ. wirtschaft. Interessenv. ohne Sitz mit Niederl. Belg.,m265
autonomous_company,Autonomous municipal company,Régie communale autonome,Autonoom gemeentebedrijf,Autonome Gemeinderegie,m418
private_company,Private limited company,Société à responsabilité limitée,Besloten vennootschap,Gesellschaft mit beschränkter Haftung,m610
limited_partnership,Limited partnership,Société en commandite,Commanditaire vennootschap,Kommanditgesellschaft,m612
private_law,Private limited company governed by public law,Société à responsabilité limitée de droit public,Besloten Vennootschap van publiek recht,Öffentlich-rechtliche Gesellschaft mit beschränkter Haftung,m616
cooperative_society,Cooperative society,Société coopérative,Coöperatieve vennootschap,Genossenschaft,m706
cooperative_law,Cooperative society governed by public law,Société coopérative de droit public,Coöperatieve vennootschap van publiek recht,Öffentlich-rechtlicheGenossenschaft,m716
